clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
-2.4661526633041947e-5,9.082241821087432e-7,2.217654169116324e-15,1.0008438961724186,"c(-1,1)",0,0.001,0,1,0
-3.2108266893332215e-6,9.41418704742606e-7,2.0028475646346898e-15,1.0008438953862795,"c(-1,1)",0,0.001,0.1,1,0
8.954330617385444e-5,1.0502146626939124e-6,2.0626702395054923e-15,1.0008438926406915,"c(-1,1)",0,0.001,0.2,1,0
6.495514101448945e-5,1.0798678036961038e-6,2.6335748936937377e-15,1.0007556388298342,"c(-1,1)",0.25,0.001,0,1,0
3.13889565591933e-5,1.052294876763595e-6,2.2643424904880753e-15,1.0007556398585196,"c(-1,1)",0.25,0.001,0.1,1,0
1.2257575594934247e-4,8.510364679775358e-7,1.5593426316789306e-15,1.0007556374919715,"c(-1,1)",0.25,0.001,0.2,1,0
9.521961054723603e-6,9.725786857818733e-7,2.1489176622391137e-15,1.0004908550844247,"c(-1,1)",0.5,0.001,0,1,0
-1.307916058656479e-5,9.417320978067963e-7,2.244675317625232e-15,1.0004908553761798,"c(-1,1)",0.5,0.001,0.1,1,0
-7.870554617407179e-5,1.0912816011391617e-6,2.309256467476102e-15,1.0004908559127628,"c(-1,1)",0.5,0.001,0.2,1,0
-4.244075989760254e-5,9.188235500643184e-7,2.4472314597073794e-15,1.000049472590934,"c(-1,1)",0.75,0.001,0,1,0
-5.35032734431888e-5,1.0714905762213083e-6,2.80225243071203e-15,1.0000494730215124,"c(-1,1)",0.75,0.001,0.1,1,0
8.094389382775856e-6,1.0556732499344833e-6,2.6024782172695745e-15,1.0000494727882177,"c(-1,1)",0.75,0.001,0.2,1,0
-3.927025519455755e-5,9.231944569330569e-7,4.556698709122215e-15,0.9994313778520701,"c(-1,1)",1,0.001,0,1,0
-4.231176769613449e-5,1.0945553838872947e-6,4.094784868506038e-15,0.9994313769360649,"c(-1,1)",1,0.001,0.1,1,0
6.260663399995692e-5,8.993456242234322e-7,4.136697340346847e-15,0.9994313780737336,"c(-1,1)",1,0.001,0.2,1,0
8.735313759390235e-5,8.959209676424669e-7,8.396520347589056e-15,0.9986364146255368,"c(-1,1)",1.25,0.001,0,1,0
1.9257533684177645e-4,1.109197155670446e-6,8.618258047238534e-15,0.9986364179927475,"c(-1,1)",1.25,0.001,0.1,1,0
