pop_group,lam_geom,lam_var,lam_stoch,clim.mean,clim.var,asp.effects,asp.mag,clim.sd,rho,rep,move.rate,mean.sub.corr
pop,1.0008438975243632,2.5018244319170098e-15,1.0008438975243619,-7.906730816049771e-5,1.0588376998379934e-6,"-1,1",0,0.001,0,1,0.05,NA
s_-1,1.0008438974993137,8.84563365562459e-16,1.0008438974993132,-7.906730816049771e-5,1.0588376998379934e-6,"-1,1",0,0.001,0,1,0.05,NA
s_1,1.0008438974993137,8.84563365562459e-16,1.0008438974993132,-7.906730816049771e-5,1.0588376998379934e-6,"-1,1",0,0.001,0,1,0.05,NA
pop,1.0008438986617947,1.9067775342398866e-15,1.0008438986617936,-1.2178929162866167e-4,1.0964053889053783e-6,"-1,1",0,0.001,0.2,1,0.05,NA
s_-1,1.0008438986730066,8.83190394041232e-16,1.0008438986730062,-1.2178929162866167e-4,1.0964053889053783e-6,"-1,1",0,0.001,0.2,1,0.05,NA
s_1,1.0008438986730066,8.83190394041232e-16,1.0008438986730062,-1.2178929162866167e-4,1.0964053889053783e-6,"-1,1",0,0.001,0.2,1,0.05,NA
pop,0.9994312907610193,2.9772387924945857e-15,0.9994312907610179,-1.794946231345273e-5,9.090427848854665e-7,"-1,1",1,0.001,0,1,0.05,-0.999999210710128
s_-1,0.9994607181986059,7.113822537568894e-12,0.999460718195051,-1.794946231345273e-5,9.090427848854665e-7,"-1,1",1,0.001,0,1,0.05,-0.999999210710128
s_1,0.9994016924684327,7.427794779200408e-12,0.999401692464721,-1.794946231345273e-5,9.090427848854665e-7,"-1,1",1,0.001,0,1,0.05,-0.999999210710128
pop,0.999431289636639,2.7616316326875008e-15,0.9994312896366375,8.543933064174426e-5,9.044842568376408e-7,"-1,1",1,0.001,0.2,1,0.05,-0.9999991090254097
s_-1,0.9994610072335774,7.0740102741751905e-12,0.9994610072300424,8.543933064174426e-5,9.044842568376408e-7,"-1,1",1,0.001,0.2,1,0.05,-0.9999991090254097
s_1,0.9994013970766515,7.394789403908435e-12,0.9994013970729564,8.543933064174426e-5,9.044842568376408e-7,"-1,1",1,0.001,0.2,1,0.05,-0.9999991090254097
pop,0.999971680262066,1.9283918976650357e-14,0.9999716802620563,5.5254551850503584e-5,1.0940852298126181e-6,"-1,1",2,0.001,0,1,0.05,-0.9999996668044984
s_-1,1.0000327954256736,3.745803630385607e-11,1.0000327954069441,5.5254551850503584e-5,1.0940852298126181e-6,"-1,1",2,0.001,0,1,0.05,-0.9999996668044984
s_1,0.9999098230352957,3.837994411514016e-11,0.9999098230161075,5.5254551850503584e-5,1.0940852298126181e-6,"-1,1",2,0.001,0,1,0.05,-0.9999996668044984
pop,0.9999716761923142,1.8394146986821775e-14,0.999971676192305,-3.280635008736435e-5,9.97372634018414e-7,"-1,1",2,0.001,0.2,1,0.05,-0.999999748605426
s_-1,1.0000322802827606,3.414857282417535e-11,1.0000322802656858,-3.280635008736435e-5,9.97372634018414e-7,"-1,1",2,0.001,0.2,1,0.05,-0.999999748605426
s_1,0.9999103446937109,3.498561224577326e-11,0.9999103446762196,-3.280635008736435e-5,9.97372634018414e-7,"-1,1",2,0.001,0.2,1,0.05,-0.999999748605426
pop,1.0013122536748613,9.775966789719172e-14,1.0013122536748125,-1.0797863806867646e-4,1.020521576646152e-6,"-1,1",3,0.001,0,1,0.05,-0.9999998765481968
s_-1,1.0014071769543818,9.041251337564528e-11,1.001407176909112,-1.0797863806867646e-4,1.020521576646152e-6,"-1,1",3,0.001,0,1,0.05,-0.9999998765481968
s_1,1.001215574012458,9.211000809840893e-11,1.001215573966347,-1.0797863806867646e-4,1.020521576646152e-6,"-1,1",3,0.001,0,1,0.05,-0.9999998765481968
pop,1.00131224517822,9.031272297179339e-14,1.0013122451781746,-1.9990201136787388e-4,1.002719320653981e-6,"-1,1",3,0.001,0.2,1,0.05,-0.9999998915770743
s_-1,1.0014063105371305,8.883967382203268e-11,1.0014063104926483,-1.9990201136787388e-4,1.002719320653981e-6,"-1,1",3,0.001,0.2,1,0.05,-0.9999998915770743
s_1,1.0012164484092514,9.049879816180167e-11,1.001216448363947,-1.9990201136787388e-4,1.002719320653981e-6,"-1,1",3,0.001,0.2,1,0.05,-0.9999998915770743
pop,0.9998076005457005,4.530215977814835e-13,0.999807600545474,1.3386332941260973e-4,8.97438483309994e-7,"-1,1",4,0.001,0,1,0.05,-0.9999999366684595
s_-1,0.9999487200673209,1.6382923423405068e-10,0.9999487199854105,1.3386332941260973e-4,8.97438483309994e-7,"-1,1",4,0.001,0,1,0.05,-0.9999999366684595
s_1,0.9996626587065136,1.6674089054743702e-10,0.9996626586231714,1.3386332941260973e-4,8.97438483309994e-7,"-1,1",4,0.001,0,1,0.05,-0.9999999366684595
pop,0.9998075953566902,4.138934672244331e-13,0.9998075953564833,5.170091155062677e-5,1.002664863461508e-6,"-1,1",4,0.001,0.2,1,0.05,-0.9999999337672828
s_-1,0.9999476097711847,1.8306970005365104e-10,0.9999476096796547,5.170091155062677e-5,1.002664863461508e-6,"-1,1",4,0.001,0.2,1,0.05,-0.9999999337672828
s_1,0.999663778017201,1.8625979124626028e-10,0.9996637779241023,5.170091155062677e-5,1.002664863461508e-6,"-1,1",4,0.001,0.2,1,0.05,-0.9999999337672828
