asp.effects,clim.sd,asp.mag,lt.lam,rep
"-2,1",0,0,1.4690016331329863,1
"-2,1",1,0,1.4634167165527252,1
"-2,1",2,0,1.4487659192507254,1
"-2,1",3,0,1.4249589519905903,1
"-2,1",4,0,1.3925453934063006,1
"-2,1",5,0,1.3382669638681632,1
"-2,1",6,0,1.294060226465606,1
"-2,1",7,0,1.2549108481324214,1
"-2,1",8,0,1.1618474562723873,1
"-2,1",9,0,1.1367909506647167,1
"-2,1",10,0,1.0671699409981557,1
"-2,1",11,0,1.0453487107477126,1
"-2,1",12,0,0.9846827193675177,1
"-2,1",13,0,0.9071879087078328,1
"-2,1",14,0,0.9141221207030938,1
"-2,1",15,0,0.9045961621559583,1
"-2,1",16,0,0.8413578207826367,1
"-2,1",17,0,0.8597277875132231,1
"-2,1",18,0,0.8509619752371166,1
"-2,1",19,0,0.8249236392892301,1
"-2,1",20,0,0.8112298201273022,1
"-2,1",21,0,0.7811967212637192,1
"-2,1",22,0,0.734808398577192,1
"-2,1",23,0,0.7266733859449086,1
"-2,1",24,0,0.7209530202355767,1
"-2,1",25,0,0.7384806900388051,1
"-2,1",26,0,0.6855689536993953,1
"-2,1",27,0,0.7241353171422458,1
"-2,1",28,0,0.6936226619819911,1
"-2,1",29,0,0.6517679221123746,1
"-2,1",30,0,0.7153456682374902,1
"-2,1",0,1,1.4614275166280704,1
"-2,1",1,1,1.4572895812830722,1
"-2,1",2,1,1.436833356970565,1
"-2,1",3,1,1.4165755810907033,1
"-2,1",4,1,1.39002646347874,1
"-2,1",5,1,1.331610673983368,1
"-2,1",6,1,1.2792189583109175,1
"-2,1",7,1,1.2282650182197772,1
"-2,1",8,1,1.156538750004229,1
"-2,1",9,1,1.1098882575053395,1
"-2,1",10,1,1.0936002948853465,1
"-2,1",11,1,1.026284503405834,1
"-2,1",12,1,0.9739070750221548,1
"-2,1",13,1,0.9774516310601122,1
"-2,1",14,1,0.9058196701397856,1
"-2,1",15,1,0.8725264591896928,1
"-2,1",16,1,0.8676344635273607,1
"-2,1",17,1,0.9037564105083518,1
"-2,1",18,1,0.8160335346595369,1
"-2,1",19,1,0.8039170279029534,1
"-2,1",20,1,0.7474075336370298,1
"-2,1",21,1,0.7393535155718459,1
"-2,1",22,1,0.7978801866965559,1
