clim.sd,asp.mag,lt.lam,rep
0,0,1.2561119487386405,1
1,0,1.252381202789456,1
2,0,1.2418649413484293,1
3,0,1.2258786106861246,1
4,0,1.2054654121669237,1
5,0,1.161135605257785,1
6,0,1.1338383065234394,1
7,0,1.0890024823112008,1
8,0,1.0487086709754472,1
9,0,0.9932555016588736,1
10,0,0.9627169083768523,1
11,0,0.9120174439019787,1
12,0,0.8874501819752793,1
13,0,0.8755285876193898,1
14,0,0.8604468429063569,1
15,0,0.8261473624617662,1
16,0,0.8135179562138058,1
17,0,0.7644893646960775,1
18,0,0.750372032696969,1
19,0,0.7285874164879641,1
20,0,0.7047964470838617,1
21,0,0.7104257380503274,1
22,0,0.708659955612617,1
23,0,0.7082330256075365,1
24,0,0.6899925290486756,1
25,0,0.6808582738286164,1
26,0,0.665631650529773,1
27,0,0.655002014273868,1
28,0,0.6343536115035195,1
29,0,0.6512228694427779,1
30,0,0.6598127005416903,1
0,1,1.2524774236913772,1
1,1,1.2490112995121283,1
2,1,1.2383312068227685,1
3,1,1.2177519372460734,1
4,1,1.19341386571708,1
5,1,1.1641658555127063,1
6,1,1.1273897428923745,1
7,1,1.0855701584965713,1
8,1,1.0504101758875957,1
9,1,0.9790140777010191,1
10,1,0.9438132086632072,1
11,1,0.9368831987665059,1
12,1,0.8778062965543398,1
13,1,0.8556155363818948,1
14,1,0.8343875052153717,1
15,1,0.8314880407738232,1
16,1,0.8035334627389339,1
17,1,0.7658360924063297,1
18,1,0.7628358234631875,1
19,1,0.729712383195114,1
20,1,0.7203067842026769,1
21,1,0.7077907277567361,1
22,1,0.7070690222058561,1
23,1,0.6820392338792354,1
24,1,0.6886349157785808,1
25,1,0.6777804196245942,1
26,1,0.6647867782006859,1
27,1,0.6796570740419197,1
28,1,0.6723603275233254,1
29,1,0.6604760464469895,1
30,1,0.6704191974810371,1
0,2,1.2415989558082265,1
1,2,1.2381899324584429,1
2,2,1.2251957940159144,1
3,2,1.2078300204330958,1
4,2,1.184551030327074,1
5,2,1.144996057498594,1
6,2,1.1238876369696638,1
7,2,1.0902259213375924,1
8,2,1.0365305974346095,1
9,2,1.0112952190589726,1
10,2,0.9677235599475646,1
11,2,0.9355239375927105,1
12,2,0.8801231339420311,1
13,2,0.867288733454432,1
14,2,0.8241852606464584,1
15,2,0.8043546651015765,1
16,2,0.7796617829866743,1
17,2,0.7626327133439743,1
18,2,0.7726138162683913,1
19,2,0.7515357547412354,1
20,2,0.7216431369764807,1
21,2,0.7186580356935028,1
22,2,0.6843009643900341,1
23,2,0.7008512942110221,1
24,2,0.6901423320179239,1
25,2,0.681198732734648,1
26,2,0.6783488395882912,1
27,2,0.6507723906915842,1
28,2,0.6734463787509279,1
29,2,0.6449605085537339,1
30,2,0.6404205536324218,1
0,3,1.2235561850684853,1
1,3,1.2204491366746537,1
2,3,1.2102660969127954,1
3,3,1.1939964746599634,1
4,3,1.157279459912745,1
5,3,1.138167975218793,1
6,3,1.1023307303449932,1
7,3,1.0631764513666762,1
8,3,1.011238322285708,1
9,3,0.9777994719444877,1
10,3,0.9402279092899967,1
11,3,0.9062068845373646,1
12,3,0.9106598728796647,1
13,3,0.8497212309923272,1
14,3,0.8356065592681976,1
15,3,0.7993684147572838,1
16,3,0.8030065417755704,1
17,3,0.7881756122525775,1
18,3,0.7677770124696046,1
19,3,0.7540515997526674,1
20,3,0.7312919151794822,1
21,3,0.7328372227676488,1
22,3,0.6931458539579274,1
23,3,0.6799457380503764,1
24,3,0.706684736003867,1
25,3,0.6989018098623268,1
26,3,0.6755065085175991,1
27,3,0.6748461468324423,1
28,3,0.6461000463613337,1
29,3,0.6725918958776619,1
30,3,0.6293528203169898,1
0,4,1.198495789451586,1
1,4,1.1962337618680263,1
2,4,1.1840675668269924,1
3,4,1.1669381690236704,1
4,4,1.144129648231841,1
5,4,1.1096451585324676,1
6,4,1.0798606936728445,1
7,4,1.037600603999065,1
8,4,1.0385989063876586,1
9,4,0.9718762624941181,1
10,4,0.9148444911753888,1
11,4,0.9126138995339147,1
12,4,0.887506899289526,1
13,4,0.8346721115319768,1
14,4,0.8331546294847092,1
15,4,0.8121628796179541,1
16,4,0.7957472513242452,1
17,4,0.7552931335528592,1
18,4,0.7839451578439595,1
19,4,0.7366804911653547,1
20,4,0.7136780622167139,1
21,4,0.7099862249675722,1
22,4,0.704498016297737,1
23,4,0.697324381463748,1
24,4,0.6815933057777837,1
25,4,0.6763438055917919,1
26,4,0.6765732956668914,1
27,4,0.6694128921149229,1
28,4,0.6503913603522311,1
29,4,0.6510754332047801,1
30,4,0.6413711605521933,1
0,5,1.1666509339076359,1
1,5,1.1628062444330256,1
2,5,1.1535718055638564,1
3,5,1.1375191090268104,1
4,5,1.112620609693104,1
5,5,1.0786079017041073,1
6,5,1.051226322135472,1
7,5,1.014118695856634,1
8,5,0.9878337860458308,1
9,5,0.938032908645792,1
10,5,0.9345966379472713,1
11,5,0.8822508439213071,1
12,5,0.8629441633321592,1
13,5,0.8410844207864353,1
14,5,0.8333615702890739,1
15,5,0.7960758100631445,1
16,5,0.7984290636931155,1
17,5,0.7619327294868683,1
18,5,0.7543381681278529,1
19,5,0.7470635343135318,1
20,5,0.720958035903268,1
21,5,0.7225502050201682,1
22,5,0.7007707785969212,1
23,5,0.6892972009565023,1
24,5,0.6799683040972413,1
25,5,0.6787513768565334,1
26,5,0.6804661776295756,1
27,5,0.665474450392754,1
28,5,0.682777421520989,1
29,5,0.6532785316514776,1
30,5,0.6432484307284764,1
0,6,1.1283659083686621,1
1,6,1.1252016514656853,1
2,6,1.1162706430542242,1
3,6,1.0936265661848101,1
4,6,1.0661393827792334,1
5,6,1.0442613231946853,1
6,6,1.0248472307378853,1
7,6,0.9909158565990808,1
8,6,0.9609935259788712,1
9,6,0.9245079180387163,1
10,6,0.9126530503445794,1
11,6,0.913827773452281,1
12,6,0.8675924172570766,1
13,6,0.8349415730793708,1
14,6,0.8008519946060534,1
15,6,0.7879631629714142,1
16,6,0.7726682596195303,1
17,6,0.7555347435742293,1
18,6,0.777080243525615,1
19,6,0.7467476302503039,1
20,6,0.7155017464201008,1
21,6,0.7148985265409854,1
22,6,0.7109507906965408,1
23,6,0.6938190314585718,1
24,6,0.668643224225328,1
25,6,0.6803668135947777,1
26,6,0.6591178880130384,1
