asp.effects,clim.sd,asp.mag,lt.lam,rep
"-1,1",0,0,1.4690016331329863,1
"-1,1",1,0,1.4642832637347354,1
"-1,1",2,0,1.4488987165109806,1
"-1,1",3,0,1.4222591531921298,1
"-1,1",4,0,1.3940261726408567,1
"-1,1",5,0,1.3298714348141507,1
"-1,1",6,0,1.2880652401598254,1
"-1,1",7,0,1.2304804226294292,1
"-1,1",8,0,1.170997215022967,1
"-1,1",9,0,1.1009491105308582,1
"-1,1",10,0,1.085208116767221,1
"-1,1",11,0,1.0204272537637402,1
"-1,1",12,0,0.9727977593906645,1
"-1,1",13,0,0.9575006879099386,1
"-1,1",14,0,0.9046123004532441,1
"-1,1",15,0,0.8979804711572782,1
"-1,1",16,0,0.8458504903991252,1
"-1,1",17,0,0.8063799063474136,1
"-1,1",18,0,0.7899608113487592,1
"-1,1",19,0,0.7919751390427495,1
"-1,1",20,0,0.766109603963957,1
"-1,1",21,0,0.7858514030709213,1
"-1,1",22,0,0.7621840173469837,1
"-1,1",23,0,0.7545577040483799,1
"-1,1",24,0,0.7186438636851842,1
"-1,1",25,0,0.7171370188740427,1
"-1,1",26,0,0.6980686930251081,1
"-1,1",27,0,0.6908738392163049,1
"-1,1",28,0,0.6827311307253113,1
"-1,1",29,0,0.6783085644865204,1
"-1,1",30,0,0.6739962863826736,1
"-1,1",0,1,1.4638942256418095,1
"-1,1",1,1,1.4589068392303988,1
"-1,1",2,1,1.4443558474385318,1
"-1,1",3,1,1.4185859076656904,1
"-1,1",4,1,1.3810123457258856,1
"-1,1",5,1,1.335821475401302,1
"-1,1",6,1,1.2847388290392,1
"-1,1",7,1,1.2505231630693194,1
"-1,1",8,1,1.1891884004111182,1
"-1,1",9,1,1.1212173010586082,1
"-1,1",10,1,1.0789475821584007,1
"-1,1",11,1,1.0182203377043224,1
"-1,1",12,1,1.00688991188333,1
"-1,1",13,1,0.9695175709630905,1
"-1,1",14,1,0.9007454442257408,1
"-1,1",15,1,0.864194334352235,1
"-1,1",16,1,0.8314010493018104,1
"-1,1",17,1,0.8313382881261946,1
"-1,1",18,1,0.8269421843949816,1
"-1,1",19,1,0.7735982323361481,1
"-1,1",20,1,0.7690780473204754,1
"-1,1",21,1,0.7563216356053934,1
"-1,1",22,1,0.7772196245523607,1
"-1,1",23,1,0.7343183405360749,1
"-1,1",24,1,0.7154645543971068,1
"-1,1",25,1,0.741027598048803,1
"-1,1",26,1,0.7002204000027703,1
"-1,1",27,1,0.6883394131928885,1
"-1,1",28,1,0.6815682809998488,1
"-1,1",29,1,0.6891102549680713,1
"-1,1",30,1,0.6728758763790534,1
"-1,1",0,2,1.4486106428997485,1
"-1,1",1,2,1.443757473097255,1
"-1,1",2,2,1.429215526012234,1
"-1,1",3,2,1.4069557074408976,1
"-1,1",4,2,1.3590191506972833,1
"-1,1",5,2,1.321960104168344,1
"-1,1",6,2,1.2794597334384619,1
"-1,1",7,2,1.2294142647009831,1
"-1,1",8,2,1.1559758701057403,1
"-1,1",9,2,1.1254806231199344,1
"-1,1",10,2,1.0631267953329864,1
"-1,1",11,2,1.0362351979611906,1
"-1,1",12,2,0.9851523528762535,1
"-1,1",13,2,0.9450689575455998,1
"-1,1",14,2,0.8897062132600089,1
"-1,1",15,2,0.9059087282249365,1
"-1,1",16,2,0.8575270090866688,1
"-1,1",17,2,0.8349181424875342,1
"-1,1",18,2,0.8158539870023717,1
"-1,1",19,2,0.786736473026887,1
"-1,1",20,2,0.7828832327876414,1
"-1,1",21,2,0.7879153449631675,1
"-1,1",22,2,0.7315903680607,1
"-1,1",23,2,0.7631799620257242,1
"-1,1",24,2,0.7258968047634112,1
"-1,1",25,2,0.7335817765262199,1
"-1,1",26,2,0.6967372873399923,1
"-1,1",27,2,0.687772518426349,1
"-1,1",28,2,0.6901850042107335,1
"-1,1",29,2,0.6865664384039328,1
"-1,1",30,2,0.6877663068140306,1
"-1,1",0,3,1.4232739065252187,1
"-1,1",1,3,1.4190414617772946,1
"-1,1",2,3,1.4005831238432678,1
"-1,1",3,3,1.383708436190245,1
"-1,1",4,3,1.3565274627825412,1
"-1,1",5,3,1.3060492088225022,1
"-1,1",6,3,1.2696219854099053,1
"-1,1",7,3,1.196248250948955,1
"-1,1",8,3,1.1504336676422378,1
"-1,1",9,3,1.0975651551721566,1
"-1,1",10,3,1.0702770851277623,1
"-1,1",11,3,0.9912417833630406,1
"-1,1",12,3,0.9797080207435802,1
"-1,1",13,3,0.9477957290756495,1
"-1,1",14,3,0.9176077603623488,1
"-1,1",15,3,0.8836539117100395,1
"-1,1",16,3,0.8864376449733721,1
"-1,1",17,3,0.8052287403802889,1
"-1,1",18,3,0.8229932715245108,1
"-1,1",19,3,0.7932865009335661,1
"-1,1",20,3,0.768889082357298,1
"-1,1",21,3,0.7664249337113808,1
"-1,1",22,3,0.7500955062014806,1
"-1,1",23,3,0.7501691318184983,1
"-1,1",24,3,0.7255750390457705,1
"-1,1",25,3,0.7049455157774206,1
"-1,1",26,3,0.7033780613453167,1
"-1,1",27,3,0.72846483442674,1
"-1,1",28,3,0.6797871381631196,1
"-1,1",29,3,0.6967501455317093,1
"-1,1",30,3,0.6694868570930386,1
"-1,1",0,4,1.3881122259387766,1
"-1,1",1,4,1.3833152241475808,1
"-1,1",2,4,1.3687322562695967,1
"-1,1",3,4,1.3553679000859882,1
"-1,1",4,4,1.3128278996491456,1
"-1,1",5,4,1.276073325986919,1
"-1,1",6,4,1.223285889060312,1
"-1,1",7,4,1.1601437298857677,1
"-1,1",8,4,1.1182957604506472,1
"-1,1",9,4,1.0956384079942503,1
"-1,1",10,4,1.046538820412227,1
"-1,1",11,4,1.0179386488262563,1
"-1,1",12,4,0.9813723886079884,1
"-1,1",13,4,0.9231283684460003,1
"-1,1",14,4,0.8976912891200312,1
"-1,1",15,4,0.8973726601767998,1
"-1,1",16,4,0.8670818259154874,1
"-1,1",17,4,0.869378802183409,1
"-1,1",18,4,0.8094998218057194,1
"-1,1",19,4,0.7980165234457529,1
"-1,1",20,4,0.7781043064361416,1
"-1,1",21,4,0.7452610512125809,1
"-1,1",22,4,0.7681995635741756,1
"-1,1",23,4,0.7284999789037393,1
"-1,1",24,4,0.7394142327203856,1
"-1,1",25,4,0.7044672866611146,1
"-1,1",26,4,0.7099250570462119,1
"-1,1",27,4,0.6942688834465184,1
"-1,1",28,4,0.6823512131069484,1
"-1,1",29,4,0.6742984129374816,1
"-1,1",30,4,0.6642330073502313,1
"-1,1",0,5,1.343492181399139,1
"-1,1",1,5,1.3401826451031653,1
"-1,1",2,5,1.3247206151831092,1
"-1,1",3,5,1.299122739786499,1
"-1,1",4,5,1.2853878572140194,1
"-1,1",5,5,1.2498757160027552,1
"-1,1",6,5,1.190847631555218,1
"-1,1",7,5,1.1464545203360295,1
"-1,1",8,5,1.0877919978995827,1
"-1,1",9,5,1.0514817217964634,1
"-1,1",10,5,1.0216918753838733,1
"-1,1",11,5,0.994390674785675,1
"-1,1",12,5,0.9593457762285351,1
"-1,1",13,5,0.9110731764215908,1
"-1,1",14,5,0.9085914421849075,1
"-1,1",15,5,0.8511248160669683,1
"-1,1",16,5,0.841517073725877,1
"-1,1",17,5,0.8499482873798823,1
"-1,1",18,5,0.8319299487436552,1
"-1,1",19,5,0.7772708106942551,1
"-1,1",20,5,0.8019622568439951,1
"-1,1",21,5,0.7837124330891223,1
"-1,1",22,5,0.7541643607868833,1
"-1,1",23,5,0.7274698521320923,1
"-1,1",24,5,0.7164447539978832,1
"-1,1",25,5,0.7186928482883151,1
"-1,1",26,5,0.6922803993589619,1
"-1,1",27,5,0.6888544672973507,1
"-1,1",28,5,0.6964725937805136,1
"-1,1",29,5,0.6841223917475544,1
"-1,1",30,5,0.6801394672760451,1
"-1,1",0,6,1.289962695408717,1
"-1,1",1,6,1.2895764235722527,1
"-1,1",2,6,1.2730913140332187,1
"-1,1",3,6,1.25016297199502,1
"-1,1",4,6,1.2387305058762297,1
"-1,1",5,6,1.1821072773967438,1
"-1,1",6,6,1.1381696220973854,1
"-1,1",7,6,1.094474994000376,1
"-1,1",8,6,1.0672596079150019,1
"-1,1",9,6,1.0433345103316738,1
"-1,1",10,6,1.0079127913808703,1
"-1,1",11,6,0.9768063767881735,1
"-1,1",12,6,0.9404922455800175,1
"-1,1",13,6,0.9178607024940016,1
"-1,1",14,6,0.9190768166021138,1
"-1,1",15,6,0.8701966313473357,1
"-1,1",16,6,0.8319064110779409,1
"-1,1",17,6,0.810978917584379,1
"-1,1",18,6,0.8046341291620268,1
"-1,1",19,6,0.7736350768678574,1
"-1,1",20,6,0.7669863234217927,1
"-1,1",21,6,0.7813785187985083,1
"-1,1",22,6,0.7581671564406863,1
"-1,1",23,6,0.7507287464998526,1
"-1,1",24,6,0.7139954527932086,1
"-1,1",25,6,0.7131097621891523,1
"-1,1",26,6,0.7118239284538831,1
