asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
0,0,1.2561119487386403,1.2561119487386403,20.86162567138672,1
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,1
2,0,1.2415989558082263,1.2415989558082263,23.096799850463867,1
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,1
4,0,1.198495789451586,1.198495789451586,32.03749656677246,1
5,0,1.166650933907636,1.166650933907636,41.72325134277344,1
6,0,1.128365908368662,1.128365908368662,58.11452865600586,1
7,0,1.084123875412064,1.084123875412064,86.4267349243164,1
8,0,1.034574514797511,1.034574514797511,140.07091522216797,1
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,1
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,1
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,1
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,1
13,9,0.7489311212062697,0.7671997726075899,2360.3439331054688,1
14,11,0.7267351622006185,0.754154525476294,3194.8089599609375,1
15,11,0.7047776815992515,0.7253827391888152,3814.697265625,1
16,13,0.6897299343019275,0.7102336313905799,3862.3809814453125,1
17,15,0.6734865144283344,0.6892638242065742,7247.9248046875,1
18,16,0.6626262360326545,0.6773356630339334,8106.231689453125,1
19,16,0.6521160601219143,0.6762829039044995,8869.171142578125,1
20,19,0.6439785846853435,0.6699617813833102,10395.050048828125,1
21,19,0.6370147288015122,0.6494268875739203,15068.05419921875,1
22,21,0.6281743503617003,0.6436575414219248,14305.11474609375,1
23,23,0.6210049058271936,0.6509795231359721,21743.7744140625,1
24,22,0.6143764100077628,0.6249898831350166,19073.486328125,1
25,25,0.6096382835615487,0.6287931458865162,21934.50927734375,1
26,23,0.6064646152588585,0.6228695285895267,27465.8203125,1
27,23,0.5994315724047709,0.6171172737114661,32043.45703125,1
28,24,0.5969592314863523,0.6085204017451312,35476.6845703125,1
29,28,0.5916557450474588,0.6101054496589338,50735.4736328125,1
30,25,0.5876910066439758,0.5994874007215275,35858.154296875,1
0,0,1.2561119487386403,1.2561119487386403,20.86162567138672,2
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,2
2,0,1.2415989558082263,1.2415989558082263,23.096799850463867,2
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,2
4,0,1.198495789451586,1.198495789451586,32.03749656677246,2
5,0,1.166650933907636,1.166650933907636,41.72325134277344,2
6,0,1.128365908368662,1.128365908368662,58.11452865600586,2
7,0,1.084123875412064,1.084123875412064,86.4267349243164,2
8,0,1.034574514797511,1.034574514797511,140.07091522216797,2
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,2
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,2
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,2
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,2
13,9,0.7489311212062697,0.7671997726075899,2145.7672119140625,2
14,11,0.7267351622006185,0.754154525476294,3004.0740966796875,2
15,11,0.7047776815992515,0.7253827391888152,3576.2786865234375,2
16,13,0.6897299343019275,0.7102336313905799,7343.292236328125,2
17,15,0.6734865144283344,0.6892638242065742,6484.9853515625,2
18,16,0.6626262360326545,0.6773356630339334,8296.966552734375,2
19,16,0.6521160601219143,0.6762829039044995,10204.315185546875,2
20,19,0.6439785846853435,0.6699617813833102,10871.88720703125,2
21,19,0.6370147288015122,0.6494268875739203,19073.486328125,2
22,21,0.6281743503617003,0.6436575414219248,12969.970703125,2
23,23,0.6210049058271936,0.6509795231359721,26702.880859375,2
24,22,0.6143764100077628,0.6249898831350166,20790.10009765625,2
25,25,0.6096382835615487,0.6287931458865162,28991.69921875,2
26,23,0.6064646152588585,0.6228695285895267,25177.001953125,2
27,23,0.5994315724047709,0.6171172737114661,28800.96435546875,2
28,24,0.5969592314863523,0.6085204017451312,37765.5029296875,2
29,28,0.5916557450474588,0.6101054496589338,48446.6552734375,2
30,25,0.5876910066439758,0.5994874007215275,38146.97265625,2
0,0,1.2561119487386403,1.2561119487386403,20.86162567138672,3
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,3
2,0,1.2415989558082263,1.2415989558082263,23.096799850463867,3
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,3
4,0,1.198495789451586,1.198495789451586,32.03749656677246,3
5,0,1.166650933907636,1.166650933907636,41.72325134277344,3
6,0,1.128365908368662,1.128365908368662,58.11452865600586,3
7,0,1.084123875412064,1.084123875412064,86.4267349243164,3
8,0,1.034574514797511,1.034574514797511,140.07091522216797,3
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,3
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,3
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,3
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,3
13,9,0.7489311212062697,0.7671997726075899,2217.2927856445312,3
14,11,0.7267351622006185,0.754154525476294,3051.7578125,3
15,11,0.7047776815992515,0.7253827391888152,3457.0693969726562,3
16,13,0.6897299343019275,0.7102336313905799,4959.1064453125,3
17,15,0.6734865144283344,0.6892638242065742,6866.455078125,3
18,16,0.6626262360326545,0.6773356630339334,7629.39453125,3
19,16,0.6521160601219143,0.6762829039044995,11062.6220703125,3
20,19,0.6439785846853435,0.6699617813833102,12397.76611328125,3
21,19,0.6370147288015122,0.6494268875739203,14495.849609375,3
22,21,0.6281743503617003,0.6436575414219248,15068.05419921875,3
23,23,0.6210049058271936,0.6509795231359721,17738.34228515625,3
24,22,0.6143764100077628,0.6249898831350166,22697.44873046875,3
25,25,0.6096382835615487,0.6287931458865162,23460.38818359375,3
26,23,0.6064646152588585,0.6228695285895267,32424.9267578125,3
27,23,0.5994315724047709,0.6171172737114661,35476.6845703125,3
28,24,0.5969592314863523,0.6085204017451312,32043.45703125,3
