asp.mag,clim.sd,seeds,rep
0,0,24,1
0,1,24,1
0,2,24,1
0,3,30,1
0,4,42,1
0,5,42,1
0,6,60,1
0,7,96,1
0,8,132,1
0,9,334,1
0,10,238,1
0,11,524,1
0,12,334,1
0,13,716,1
0,14,1144,1
0,15,1144,1
0,16,1717,1
0,17,2384,1
0,18,2670,1
0,19,3815,1
0,20,2861,1
1,0,24,1
1,1,24,1
1,2,24,1
1,3,30,1
1,4,36,1
1,5,42,1
1,6,84,1
1,7,84,1
1,8,120,1
1,9,191,1
1,10,214,1
1,11,214,1
1,12,1002,1
1,13,1192,1
1,14,763,1
1,15,810,1
1,16,1049,1
1,17,2194,1
1,18,3815,1
1,19,3052,1
1,20,2670,1
2,0,24,1
2,1,24,1
2,2,30,1
2,3,30,1
2,4,48,1
2,5,54,1
2,6,84,1
2,7,84,1
2,8,168,1
2,9,180,1
2,10,214,1
2,11,430,1
2,12,524,1
2,13,810,1
2,14,1192,1
2,15,858,1
2,16,2098,1
2,17,2003,1
2,18,3815,1
2,19,2766,1
2,20,5341,1
3,0,30,1
3,1,30,1
3,2,30,1
3,3,36,1
3,4,48,1
3,5,54,1
3,6,60,1
3,7,96,1
3,8,156,1
3,9,286,1
3,10,286,1
3,11,430,1
3,12,716,1
3,13,668,1
3,14,1049,1
3,15,1430,1
3,16,3052,1
3,17,2003,1
3,18,3052,1
3,19,3434,1
3,20,3434,1
4,0,36,1
4,1,36,1
4,2,36,1
4,3,42,1
4,4,60,1
4,5,72,1
4,6,120,1
4,7,108,1
4,8,168,1
4,9,358,1
4,10,477,1
4,11,430,1
4,12,548,1
4,13,858,1
4,14,1002,1
4,15,1717,1
4,16,1335,1
4,17,1430,1
4,18,3815,1
4,19,3052,1
4,20,4006,1
5,0,48,1
5,1,48,1
5,2,54,1
5,3,60,1
5,4,72,1
5,5,96,1
5,6,156,1
5,7,191,1
5,8,214,1
5,9,382,1
5,10,477,1
5,11,620,1
5,12,810,1
5,13,1049,1
5,14,1144,1
5,15,1717,1
5,16,954,1
5,17,1240,1
5,18,1526,1
5,19,4387,1
5,20,6486,1
6,0,60,1
6,1,60,1
6,2,72,1
6,3,84,1
6,4,96,1
6,5,144,1
6,6,180,1
6,7,286,1
6,8,334,1
6,9,524,1
6,10,572,1
6,11,454,1
6,12,716,1
6,13,2194,1
6,14,1192,1
6,15,1430,1
6,16,3052,1
6,17,4006,1
6,18,3434,1
6,19,2480,1
6,20,3624,1
7,0,96,1
7,1,96,1
7,2,108,1
7,3,144,1
7,4,120,1
7,5,191,1
7,6,238,1
7,7,191,1
7,8,382,1
7,9,334,1
7,10,524,1
7,11,716,1
7,12,1430,1
7,13,906,1
7,14,1240,1
7,15,1908,1
7,16,2480,1
7,17,1908,1
7,18,2480,1
7,19,2670,1
7,20,4196,1
8,0,144,1
8,1,156,1
8,2,168,1
8,3,168,1
8,4,191,1
8,5,238,1
8,6,334,1
8,7,477,1
8,8,500,1
8,9,620,1
8,10,1430,1
8,11,1335,1
8,12,954,1
8,13,1908,1
8,14,1430,1
8,15,2194,1
8,16,4387,1
8,17,2861,1
8,18,2861,1
8,19,6104,1
8,20,5341,1
9,0,262,1
9,1,262,1
9,2,310,1
9,3,286,1
9,4,406,1
9,5,238,1
9,6,524,1
9,7,668,1
9,8,524,1
9,9,1049,1
9,10,858,1
9,11,810,1
9,12,1526,1
9,13,1526,1
9,14,1240,1
9,15,1335,1
9,16,1526,1
9,17,3434,1
9,18,2861,1
9,19,6104,1
9,20,6486,1
10,0,477,1
10,1,477,1
10,2,524,1
10,3,620,1
10,4,620,1
10,5,906,1
10,6,668,1
10,7,572,1
10,8,1002,1
10,9,1240,1
10,10,1430,1
10,11,1622,1
10,12,1717,1
10,13,1717,1
10,14,1908,1
10,15,2289,1
10,16,3624,1
10,17,2670,1
10,18,4960,1
10,19,3434,1
10,20,3052,1
11,0,1002,1
11,1,1049,1
11,2,1144,1
11,3,1144,1
11,4,1335,1
11,5,1144,1
11,6,1144,1
11,7,1049,1
11,8,1049,1
11,9,2098,1
11,10,1622,1
11,11,1622,1
11,12,3434,1
11,13,2861,1
11,14,2670,1
11,15,5341,1
11,16,1908,1
11,17,4196,1
11,18,3815,1
11,19,4578,1
11,20,3624,1
12,0,2194,1
12,1,2194,1
12,2,2289,1
12,3,2289,1
12,4,1717,1
12,5,1240,1
12,6,2289,1
12,7,2098,1
12,8,2384,1
12,9,3052,1
12,10,2861,1
12,11,1430,1
12,12,2289,1
12,13,3434,1
12,14,3815,1
12,15,3243,1
12,16,4387,1
12,17,2766,1
12,18,3434,1
12,19,4387,1
12,20,6867,1
13,0,4960,1
13,1,4578,1
13,2,5150,1
13,3,4578,1
13,4,4006,1
13,5,2670,1
13,6,2670,1
13,7,3052,1
13,8,2098,1
13,9,3243,1
13,10,2289,1
13,11,3243,1
13,12,3434,1
13,13,4960,1
13,14,2861,1
13,15,4006,1
13,16,4387,1
13,17,6486,1
13,18,4196,1
13,19,11444,1
13,20,5341,1
14,0,11063,1
14,1,10682,1
14,2,9919,1
14,3,8774,1
14,4,6867,1
14,5,6867,1
14,6,5722,1
14,7,3815,1
14,8,4960,1
14,9,4387,1
14,10,1812,1
14,11,4006,1
14,12,4578,1
14,13,2861,1
14,14,3434,1
14,15,4006,1
14,16,3815,1
14,17,4960,1
14,18,4769,1
14,19,9156,1
14,20,7630,1
15,0,24414,1
15,1,22888,1
15,2,19836,1
15,3,18310,1
15,4,16021,1
15,5,13732,1
15,6,6867,1
15,7,7630,1
15,8,5341,1
15,9,7248,1
15,10,6867,1
15,11,4578,1
15,12,8012,1
15,13,4769,1
15,14,10682,1
15,15,8012,1
15,16,3624,1
15,17,5722,1
15,18,6867,1
15,19,6104,1
15,20,7248,1
16,0,51880,1
16,1,48828,1
16,2,41198,1
16,3,32044,1
16,4,22888,1
16,5,16784,1
16,6,13732,1
16,7,15258,1
16,8,7630,1
16,9,7630,1
16,10,9919,1
16,11,5341,1
16,12,6104,1
16,13,8012,1
16,14,6867,1
16,15,12970,1
16,16,11444,1
16,17,9156,1
16,18,7248,1
16,19,18310,1
16,20,14495,1
17,0,97656,1
17,1,91552,1
17,2,76294,1
17,3,51880,1
17,4,48828,1
17,5,48828,1
17,6,20599,1
17,7,17547,1
17,8,13732,1
17,9,21362,1
17,10,10682,1
17,11,11063,1
17,12,12207,1
17,13,15258,1
17,14,12207,1
17,15,11444,1
17,16,4960,1
17,17,9156,1
17,18,9538,1
17,19,11444,1
17,20,11444,1
18,0,177002,1
18,1,152588,1
18,2,128174,1
18,3,103760,1
18,4,57984,1
18,5,64086,1
18,6,45776,1
18,7,24414,1
18,8,24414,1
18,9,19073,1
18,10,22125,1
18,11,19073,1
18,12,13732,1
18,13,12970,1
18,14,9156,1
18,15,9919,1
18,16,7630,1
18,17,9919,1
18,18,19073,1
18,19,11444,1
18,20,35096,1
19,0,280761,1
19,1,244140,1
19,2,244140,1
19,3,170898,1
19,4,152588,1
19,5,79346,1
19,6,73242,1
19,7,41198,1
19,8,28992,1
19,9,38146,1
19,10,24414,1
19,11,27466,1
19,12,16784,1
19,13,12207,1
19,14,14495,1
19,15,11444,1
19,16,14495,1
19,17,12207,1
19,18,6867,1
19,19,12970,1
19,20,21362,1
20,0,415040,1
20,1,402832,1
20,2,366210,1
20,3,268554,1
20,4,170898,1
20,5,134277,1
20,6,94604,1
20,7,79346,1
20,8,32044,1
20,9,51880,1
20,10,25940,1
20,11,19836,1
20,12,27466,1
20,13,30518,1
20,14,32044,1
20,15,19073,1
20,16,11444,1
20,17,19836,1
20,18,24414,1
20,19,15258,1
20,20,18310,1
21,0,585938,1
21,1,561524,1
21,2,488282,1
21,3,366210,1
21,4,280761,1
21,5,183105,1
21,6,146484,1
21,7,85449,1
21,8,97656,1
21,9,51880,1
21,10,57984,1
21,11,44250,1
21,12,30518,1
21,13,16784,1
21,14,33570,1
21,15,10682,1
21,16,35096,1
21,17,15258,1
21,18,19073,1
21,19,15258,1
21,20,21362,1
22,0,756836,1
22,1,732422,1
22,2,585938,1
22,3,561524,1
22,4,366210,1
22,5,341796,1
22,6,219726,1
22,7,183105,1
22,8,76294,1
22,9,73242,1
22,10,73242,1
22,11,48828,1
22,12,39672,1
22,13,39672,1
22,14,30518,1
22,15,35096,1
22,16,35096,1
22,17,27466,1
22,18,23651,1
22,19,32044,1
22,20,19836,1
23,0,927734,1
23,1,878906,1
23,2,830078,1
23,3,683594,1
23,4,537110,1
23,5,390625,1
23,6,292968,1
23,7,256347,1
23,8,177002,1
23,9,91552,1
23,10,112914,1
23,11,103760,1
23,12,61035,1
23,13,57984,1
23,14,42724,1
23,15,25940,1
23,16,45776,1
23,17,25940,1
23,18,24414,1
23,19,22888,1
23,20,24414,1
24,0,1049804,1
24,1,1025390,1
24,2,903320,1
24,3,878906,1
24,4,732422,1
24,5,537110,1
24,6,402832,1
24,7,305175,1
24,8,195312,1
24,9,140380,1
24,10,85449,1
24,11,67138,1
24,12,48828,1
24,13,42724,1
24,14,109863,1
24,15,51880,1
24,16,30518,1
24,17,27466,1
24,18,33570,1
24,19,28992,1
24,20,33570,1
25,0,1171875,1
25,1,1123046,1
25,2,1074218,1
25,3,927734,1
25,4,878906,1
25,5,659180,1
25,6,683594,1
25,7,317382,1
25,8,305175,1
25,9,189208,1
25,10,170898,1
25,11,109863,1
25,12,97656,1
25,13,91552,1
25,14,61035,1
25,15,15258,1
25,16,24414,1
25,17,70190,1
25,18,41198,1
25,19,79346,1
25,20,27466,1
26,0,1269532,1
26,1,1220704,1
26,2,1171875,1
26,3,1123046,1
26,4,927734,1
26,5,781250,1
26,6,708008,1
26,7,585938,1
26,8,378418,1
26,9,207519,1
26,10,152588,1
26,11,158691,1
26,12,146484,1
26,13,170898,1
26,14,134277,1
26,15,45776,1
26,16,33570,1
26,17,19836,1
26,18,35096,1
26,19,48828,1
26,20,97656,1
27,0,1318360,1
27,1,1318360,1
27,2,1269532,1
27,3,1220704,1
27,4,1123046,1
27,5,927734,1
27,6,585938,1
27,7,659180,1
27,8,561524,1
27,9,341796,1
27,10,207519,1
27,11,292968,1
27,12,134277,1
27,13,140380,1
27,14,109863,1
27,15,134277,1
27,16,33570,1
27,17,48828,1
27,18,97656,1
27,19,85449,1
27,20,76294,1
28,0,1367188,1
28,1,1367188,1
28,2,1367188,1
28,3,1269532,1
28,4,1171875,1
28,5,1123046,1
28,6,878906,1
28,7,732422,1
28,8,683594,1
28,9,512696,1
28,10,268554,1
28,11,415040,1
28,12,128174,1
28,13,195312,1
28,14,103760,1
28,15,73242,1
28,16,122070,1
28,17,88500,1
28,18,67138,1
28,19,82398,1
28,20,38146,1
29,0,1416016,1
29,1,1367188,1
29,2,1367188,1
29,3,1318360,1
29,4,1269532,1
29,5,1171875,1
29,6,1025390,1
29,7,781250,1
29,8,537110,1
29,9,488282,1
29,10,463868,1
29,11,207519,1
29,12,268554,1
29,13,292968,1
29,14,207519,1
29,15,140380,1
29,16,109863,1
29,17,140380,1
29,18,73242,1
29,19,54932,1
29,20,97656,1
30,0,1416016,1
30,1,1416016,1
30,2,1416016,1
30,3,1367188,1
30,4,1318360,1
30,5,1220704,1
30,6,1123046,1
30,7,976562,1
30,8,561524,1
30,9,732422,1
30,10,537110,1
30,11,292968,1
30,12,305175,1
30,13,292968,1
30,14,341796,1
30,15,231933,1
30,16,134277,1
30,17,146484,1
30,18,109863,1
30,19,140380,1
30,20,61035,1
0,0,24,2
0,1,24,2
0,2,24,2
0,3,27,2
0,4,36,2
0,5,42,2
0,6,90,2
0,7,132,2
0,8,168,2
0,9,286,2
0,10,524,2
0,11,454,2
0,12,430,2
0,13,954,2
0,14,500,2
0,15,1049,2
0,16,1335,2
0,17,2098,2
0,18,2670,2
0,19,6486,2
0,20,4006,2
1,0,24,2
1,1,24,2
1,2,27,2
1,3,30,2
1,4,36,2
1,5,48,2
1,6,72,2
1,7,144,2
1,8,120,2
1,9,262,2
1,10,310,2
1,11,382,2
1,12,406,2
1,13,620,2
1,14,1240,2
1,15,1717,2
1,16,1526,2
1,17,1144,2
1,18,2480,2
1,19,2861,2
1,20,5341,2
2,0,24,2
2,1,24,2
2,2,30,2
2,3,33,2
2,4,42,2
2,5,66,2
2,6,66,2
2,7,120,2
2,8,144,2
2,9,191,2
2,10,382,2
2,11,382,2
2,12,382,2
2,13,524,2
2,14,716,2
2,15,1144,2
2,16,1717,2
2,17,1812,2
2,18,1240,2
2,19,3052,2
2,20,2194,2
3,0,30,2
3,1,30,2
3,2,30,2
3,3,42,2
3,4,54,2
3,5,72,2
3,6,96,2
3,7,96,2
3,8,168,2
3,9,406,2
3,10,286,2
3,11,477,2
3,12,382,2
3,13,763,2
3,14,1335,2
3,15,1717,2
3,16,1430,2
3,17,2480,2
3,18,4769,2
3,19,1812,2
3,20,6104,2
4,0,36,2
4,1,36,2
4,2,36,2
4,3,42,2
4,4,48,2
4,5,84,2
4,6,144,2
4,7,168,2
4,8,156,2
4,9,214,2
4,10,382,2
4,11,572,2
4,12,810,2
4,13,716,2
4,14,1335,2
4,15,1335,2
4,16,5722,2
4,17,1812,2
4,18,3434,2
4,19,2670,2
4,20,7248,2
5,0,48,2
5,1,48,2
5,2,54,2
5,3,66,2
5,4,66,2
5,5,96,2
5,6,132,2
5,7,144,2
5,8,334,2
5,9,334,2
5,10,382,2
5,11,668,2
5,12,1002,2
5,13,1002,2
5,14,1144,2
5,15,2670,2
5,16,2289,2
5,17,2480,2
5,18,2861,2
5,19,2289,2
5,20,2480,2
6,0,60,2
6,1,60,2
6,2,72,2
6,3,84,2
6,4,96,2
6,5,168,2
6,6,156,2
6,7,214,2
6,8,191,2
6,9,358,2
6,10,477,2
6,11,524,2
6,12,716,2
6,13,1240,2
6,14,1335,2
6,15,1908,2
6,16,1526,2
6,17,2670,2
6,18,3434,2
6,19,4960,2
6,20,2480,2
7,0,96,2
7,1,96,2
7,2,108,2
7,3,132,2
7,4,144,2
7,5,214,2
7,6,226,2
7,7,334,2
7,8,334,2
7,9,620,2
7,10,382,2
7,11,1049,2
7,12,763,2
7,13,620,2
7,14,2194,2
7,15,1908,2
7,16,2766,2
7,17,2384,2
7,18,4960,2
7,19,5722,2
7,20,3624,2
8,0,144,2
8,1,156,2
8,2,156,2
8,3,191,2
8,4,202,2
8,5,286,2
8,6,358,2
8,7,382,2
8,8,524,2
8,9,477,2
8,10,524,2
8,11,858,2
8,12,810,2
8,13,1335,2
8,14,1526,2
8,15,1430,2
8,16,2098,2
8,17,3243,2
8,18,3243,2
8,19,4196,2
8,20,3243,2
9,0,262,2
9,1,262,2
9,2,310,2
9,3,334,2
9,4,286,2
9,5,430,2
9,6,262,2
9,7,477,2
9,8,763,2
9,9,572,2
9,10,1049,2
9,11,1002,2
9,12,1144,2
9,13,1049,2
9,14,1526,2
9,15,2670,2
9,16,3815,2
9,17,3624,2
9,18,3052,2
9,19,6867,2
9,20,4769,2
10,0,477,2
10,1,477,2
10,2,572,2
10,3,620,2
10,4,716,2
10,5,763,2
10,6,572,2
10,7,1049,2
10,8,668,2
10,9,1430,2
10,10,858,2
10,11,858,2
10,12,1812,2
10,13,2098,2
10,14,1430,2
10,15,1622,2
10,16,4196,2
10,17,2480,2
10,18,3434,2
10,19,3434,2
10,20,5722,2
11,0,1002,2
11,1,1002,2
11,2,1144,2
11,3,1144,2
11,4,1144,2
11,5,1430,2
11,6,1049,2
11,7,906,2
11,8,1717,2
11,9,1430,2
11,10,1812,2
11,11,2289,2
11,12,1526,2
11,13,2289,2
11,14,2098,2
11,15,3243,2
11,16,2098,2
11,17,3052,2
11,18,3434,2
11,19,3815,2
11,20,6104,2
12,0,2194,2
12,1,2098,2
12,2,2098,2
12,3,2384,2
12,4,1717,2
12,5,1622,2
12,6,2289,2
12,7,1717,2
12,8,1526,2
12,9,2480,2
12,10,1908,2
12,11,1622,2
12,12,2480,2
12,13,2384,2
12,14,4578,2
12,15,2289,2
12,16,3815,2
12,17,3052,2
12,18,3624,2
12,19,7248,2
12,20,5341,2
13,0,4960,2
13,1,4960,2
13,2,3624,2
13,3,4960,2
13,4,3243,2
13,5,2575,2
13,6,1908,2
13,7,3052,2
13,8,4006,2
13,9,2670,2
13,10,3624,2
13,11,3052,2
13,12,4196,2
13,13,2098,2
13,14,4006,2
13,15,3624,2
13,16,5722,2
13,17,8774,2
13,18,3815,2
13,19,6486,2
13,20,6867,2
14,0,11063,2
14,1,10682,2
14,2,9919,2
14,3,8774,2
14,4,5150,2
14,5,7630,2
14,6,3243,2
14,7,5722,2
14,8,7630,2
14,9,3434,2
14,10,3815,2
14,11,6104,2
14,12,2098,2
14,13,5722,2
14,14,5722,2
