asp.mag,clim.sd,seeds,rep
0,0,20.86162567138672,1
0,1,20.86162567138672,1
0,2,23.096799850463867,1
0,3,26.82209014892578,1
0,4,31.292438507080078,1
0,5,40.978193283081055,1
0,6,62.584877014160156,1
0,7,96.85754776000977,1
0,8,134.1104507446289,1
0,9,208.6162567138672,1
0,10,211.59648895263672,1
0,11,441.0743713378906,1
0,12,494.7185516357422,1
0,13,894.0696716308594,1
0,14,1072.8836059570312,1
0,15,1180.1719665527344,1
0,16,1597.4044799804688,1
0,17,2264.9765014648438,1
0,18,2074.2416381835938,1
0,19,4053.1158447265625,1
0,20,4100.799560546875,1
0,21,5102.1575927734375,1
0,22,4243.8507080078125,1
0,23,6198.883056640625,1
0,24,6198.883056640625,1
0,25,7629.39453125,1
0,26,8773.8037109375,1
0,27,12207.03125,1
0,28,15735.626220703125,1
0,29,13065.338134765625,1
0,30,19073.486328125,1
1,0,21.6066837310791,1
1,1,21.6066837310791,1
1,2,23.84185791015625,1
1,3,26.82209014892578,1
1,4,34.27267074584961,1
1,5,43.2133674621582,1
1,6,71.52557373046875,1
1,7,98.34766387939453,1
1,8,128.14998626708984,1
1,9,163.91277313232422,1
1,10,298.0232238769531,1
1,11,393.3906555175781,1
1,12,631.8092346191406,1
1,13,679.4929504394531,1
1,14,1037.1208190917969,1
1,15,1013.2789611816406,1
1,16,1788.1393432617188,1
1,17,2741.8136596679688,1
1,18,2741.8136596679688,1
1,19,3123.2833862304688,1
1,20,3290.1763916015625,1
1,21,5435.943603515625,1
1,22,5722.0458984375,1
1,23,5817.413330078125,1
1,24,5817.413330078125,1
1,25,7534.027099609375,1
1,26,10299.6826171875,1
1,27,14877.3193359375,1
1,28,12969.970703125,1
1,29,11253.35693359375,1
1,30,11634.82666015625,1
2,0,23.096799850463867,1
2,1,23.84185791015625,1
2,2,25.331974029541016,1
2,3,29.05726432800293,1
2,4,37.99796104431152,1
2,5,49.173831939697266,1
2,6,67.05522537231445,1
2,7,107.28836059570312,1
2,8,166.89300537109375,1
2,9,250.33950805664062,1
2,10,289.08252716064453,1
2,11,452.99530029296875,1
2,12,548.36273193359375,1
2,13,834.46502685546875,1
2,14,1049.041748046875,1
2,15,1716.61376953125,1
2,16,1263.6184692382812,1
2,17,1811.981201171875,1
2,18,2694.1299438476562,1
2,19,3385.5438232421875,1
2,20,4673.004150390625,1
2,21,5197.5250244140625,1
2,22,4529.9530029296875,1
2,23,5054.473876953125,1
2,24,14495.849609375,1
2,25,8773.8037109375,1
2,26,7629.39453125,1
2,27,9250.640869140625,1
2,28,13732.91015625,1
2,29,13732.91015625,1
2,30,16975.40283203125,1
3,0,26.82209014892578,1
3,1,26.82209014892578,1
3,2,29.802322387695312,1
3,3,34.27267074584961,1
3,4,44.70348358154297,1
3,5,56.624412536621094,1
3,6,87.91685104370117,1
3,7,119.20928955078125,1
3,8,172.8534698486328,1
3,9,226.49765014648438,1
3,10,357.62786865234375,1
3,11,399.3511199951172,1
3,12,560.2836608886719,1
3,13,882.14874267578125,1
3,14,1358.9859008789062,1
3,15,1478.1951904296875,1
3,16,1740.4556274414062,1
3,17,1835.8230590820312,1
3,18,2193.450927734375,1
3,19,4196.1669921875,1
3,20,3099.4415283203125,1
3,21,5102.1575927734375,1
3,22,4816.0552978515625,1
3,23,8296.966552734375,1
3,24,9155.2734375,1
3,25,8106.231689453125,1
3,26,10013.580322265625,1
3,27,11253.35693359375,1
3,28,10585.784912109375,1
3,29,19073.486328125,1
3,30,19645.69091796875,1
4,0,32.03749656677246,1
4,1,32.782554626464844,1
4,2,35.762786865234375,1
4,3,40.23313522338867,1
4,4,52.1540641784668,1
4,5,68.54534149169922,1
4,6,93.87731552124023,1
4,7,128.14998626708984,1
4,8,196.69532775878906,1
4,9,244.37904357910156,1
4,10,441.0743713378906,1
4,11,452.99530029296875,1
4,12,524.5208740234375,1
4,13,822.5440979003906,1
4,14,834.46502685546875,1
4,15,2026.5579223632812,1
4,16,1811.981201171875,1
4,17,2360.3439331054688,1
4,18,3051.7578125,1
4,19,3480.9112548828125,1
4,20,3147.125244140625,1
4,21,4482.269287109375,1
4,22,6484.9853515625,1
4,23,5626.678466796875,1
4,24,7486.3433837890625,1
4,25,5626.678466796875,1
4,26,11157.989501953125,1
4,27,15449.52392578125,1
4,28,12969.970703125,1
4,29,15258.7890625,1
4,30,14877.3193359375,1
5,0,41.72325134277344,1
5,1,43.2133674621582,1
5,2,47.6837158203125,1
5,3,56.624412536621094,1
5,4,68.54534149169922,1
5,5,92.38719940185547,1
5,6,122.18952178955078,1
5,7,154.97207641601562,1
5,8,274.1813659667969,1
5,9,369.5487976074219,1
5,10,411.2720489501953,1
5,11,619.8883056640625,1
5,12,703.3348083496094,1
5,13,1013.2789611816406,1
5,14,1406.6696166992188,1
5,15,1525.87890625,1
5,16,1740.4556274414062,1
5,17,1931.1904907226562,1
5,18,2908.7066650390625,1
5,19,4005.43212890625,1
5,20,4577.63671875,1
5,21,4720.6878662109375,1
5,22,5817.413330078125,1
5,23,6294.25048828125,1
5,24,8773.8037109375,1
5,25,9155.2734375,1
5,26,9918.212890625,1
5,27,10681.15234375,1
5,28,13732.91015625,1
5,29,12874.603271484375,1
5,30,13732.91015625,1
